category,factor_name,selected,importance,rank,ic_mean,icir,t_stat,p_value,adjusted_pvalue,composite_score,meaning,source_file,window
Price-Volume,WVMA60,False,0.1205,99,0.010317,0.0979,2.1387,0.032971,0.046907,0.1484,"【核心含义】
波动加权成交量均值 (Weighted VMA)：过去60天以价格波动绝对值加权的成交量相对均值。反映大幅波动时的异常成交量特征。

【运行原理】
动能权重赋值：在N天滑动窗口内，先计算每日的价格绝对变化率（如：Abs(今日收盘/昨日收盘-1)），以此作为当日行情的“动能权重”；
量能加权：将该动能权重乘上当日的成交量，得到“价格波动加权的成交量”序列；
波动率计算：计算该加权成交量序列的标准差，并除以其均值进行无量纲化；
极端行情捕捉：该指标能极其敏感地捕捉到“巨幅震荡且伴随天量”的极端变盘日，是识别市场情绪顶底的利器。",price_volume_factors,Window_2024
Price-Volume,BETA10,False,0.0576,100,-0.014822,-0.0999,-2.1816,0.029625,0.043019,0.1458,"【核心含义】
价格趋势斜率 (Beta/Slope)：过去10天价格序列对时间的线性回归斜率。代表价格的上涨或下跌趋势强度。

【运行原理】
数据读取：按设定的时间窗口（如5天）提取标的资产的每日收盘价序列；
线性拟合：将时间序列作为自变量，收盘价作为因变量，进行普通最小二乘法(OLS)线性回归；
斜率提取：获取该回归方程的斜率(Slope)，代表资产价格随时间的平均绝对增长率；
价格归一化：将提取出的斜率值除以当前的最新收盘价，将绝对变化率转化为无量纲的相对变化率，以消除不同高低价股位带来的尺度差异。",price_volume_factors,Window_2024
Price-Volume,Alpha178,False,0.0254,101,-0.014532,-0.1045,-2.2764,0.023265,0.034409,0.1411,"【原始公式】
(CLOSE-DELAY(CLOSE,1))/DELAY(CLOSE,1)*VOLUME

【核心含义】
国泰君安191因子体系中的 Alpha178 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2024
Price-Volume,Alpha29,False,0.076,102,-0.013404,-0.0936,-2.0174,0.044224,0.059832,0.1399,"【原始公式】
(CLOSE-DELAY(CLOSE,6))/DELAY(CLOSE,6)*VOLUME

【核心含义】
国泰君安191因子体系中的 Alpha29 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2024
Price-Volume,VWAP0,False,0.0879,103,0.011939,0.0911,1.9887,0.047306,0.062771,0.1378,"【核心含义】
相对收盘的均价：衡量全天成交均价相对于收盘价的位置，用于判断收盘价是高于还是低于全天平均成本。

【运行原理】
均价提取：获取当前交易日的成交量加权平均价(VWAP)，该价格代表了全天所有买卖单的真实平均建仓成本；
收盘比对：获取当日的最终收盘价(close)；
折溢价换算：将 VWAP 直接除以收盘价；
日内盈亏评估：若结果大于1，说明收盘价跌破了全天均价，日内入场的大部分资金处于浮亏状态（偏空）；若小于1，则大部分资金实现浮盈（偏多）。",price_volume_factors,Window_2024
Price-Volume,Alpha86,False,0.3246,104,0.006453,0.0514,0.8684,0.385916,0.426051,0.1363,"【原始公式】
((0.25<(((DELAY(CLOSE,20)-DELAY(CLOSE,10))/10)-((DELAY(CLOSE,10)-CLOSE)/10)))?(-1*1):(((((DELAY(CLOSE,20)-DELAY(CLOSE,10))/10)-((DELAY(CLOSE,10)-CLOSE)/10))\<0)?1:((-1*1)*(CLOSE-DELAY(CLOSE,1)))))

【核心含义】
国泰君安191因子体系中的 Alpha86 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2024
Price-Volume,KMID2,False,0.0099,105,-0.013495,-0.096,-2.0972,0.036505,0.051405,0.1269,"【核心含义】
K线实体占振幅比例：衡量K线实体占全天总振幅的比例，体现趋势的坚决程度。值越接近1说明趋势越单边。

【运行原理】
开收对比：读取单日 K 线的开盘价(open)和收盘价(close)；
实体计算：计算收盘价减去开盘价的差额，获取 K 线实体的绝对方向与长度；
无量纲转换：将实体长度除以开盘价，转化为相对于开盘的涨跌百分比；
多空定调：正值代表日内多头净胜，负值代表空头净胜，完全剔除了日内最高/最低价的极端波动干扰。",price_volume_factors,Window_2024
Price-Volume,Alpha76,False,0.092,106,0.006108,0.0935,2.0418,0.041726,0.057582,0.1265,"【原始公式】
STD(ABS((CLOSE/DELAY(CLOSE,1)-1))/VOLUME,20)/MEAN(ABS((CLOSE/DELAY(CLOSE,1)-1))/VOLUME,20)

【核心含义】
国泰君安191因子体系中的 Alpha76 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2024
Price-Volume,VMA10,False,0.0,107,0.010345,0.1062,2.3154,0.021016,0.031524,0.126,"【核心含义】
成交量移动平均 (Volume MA)：过去10天的成交量移动平均相对当前成交量的比值。反映成交量的近期均值回归状态。

【运行原理】
成交量聚合：在设定的N天时间窗口内，收集每一天的成交量(volume)；
均量计算：对窗口内的所有成交量求简单算术平均数(Mean)，得到该周期的平均换手水平；
放缩量换算：将计算出的移动平均成交量除以当前的最新成交量（分母加极小值防报错）；
量能异动评估：结果若远小于1，说明当日剧烈放量；若大于1，说明当日缩量。用于判断当前交投活跃度相较于历史均值的异动情况。",price_volume_factors,Window_2024
Price-Volume,SUMN5,False,0.0057,108,0.01347,0.0928,2.0263,0.043288,0.059146,0.1227,"【核心含义】
负收益绝对值占比 (Sum Negative)：过去5天中所有负收益之和占总绝对收益的比例。反映空头砸盘的绝对力量。

【运行原理】
空头剥离：在N天的滑动窗口内，逐日比对收盘价，仅提取出下跌交易日（今日收盘<昨日收盘）的下跌绝对点数；
空头动能累加：将这N天内的所有下跌点数进行求和；
基准归一化：将空头总动能除以这N天内所有价格变化（无论涨跌）的绝对值总和；
空方势能评估：结果在0到1之间，数值越大说明区间内空头杀跌的力度在总波动中占据绝对主导。",price_volume_factors,Window_2024
Price-Volume,VSUMN20,False,0.0185,109,0.010008,0.094,2.0538,0.04054,0.05651,0.1184,"【核心含义】
缩量绝对值占比 (Volume Sum Negative)：过去20天中成交量减少部分的绝对量占比。

【运行原理】
杀跌量剥离：在N天窗口内，专门筛选出股价下跌当天的成交量变化量（若比前一日缩量则取差值，具体视公式而定）；
空头量能累加：将符合条件的下跌量能进行加总；
总基准归一化：将总的空头量能除以这N天内所有的成交量绝对变化之和；
恐慌抛盘评估：数值越大，说明该区间内的波动主要由恐慌性的放量杀跌所主导。",price_volume_factors,Window_2024
Price-Volume,RSV5,False,0.0043,110,-0.012849,-0.0883,-1.9284,0.054401,0.071498,0.1165,"【核心含义】
未成熟随机值 (Raw Stochastic Value)：KDJ指标的计算基础，(当前价-最低价)/(最高价-最低价)，反映当前价格在过去5天极值区间的相对强弱。

【运行原理】
极值扫描：在N天滑动窗口内，同时找出全局最高价(Max)和全局最低价(Min)，确定该区间的绝对波动范围；
相对位置计算：计算当前最新收盘价减去全局最低价的差额；
KD基石换算：将该差额除以总波动范围（最高价-最低价），得到未成熟随机值(RSV)；
超买超卖界定：结果在0到1之间，直观标定当前价格处于近期波动箱体的什么水位（如0.8以上为超买区，0.2以下为超卖区）。",price_volume_factors,Window_2024
Price-Volume,IMXD10,False,0.0204,111,-0.011725,-0.0874,-1.8966,0.058489,0.076146,0.1165,"【核心含义】
高低点极值距离 (Index Distance)：过去10天内最高价和最低价发生天数的差值。反映趋势的运行节奏和周期。

【运行原理】
高点寻址：在N天窗口内找到最高价所在的时间索引(IdxMax)；
低点寻址：在同一窗口内找到最低价所在的时间索引(IdxMin)；
时差计算：将高点索引减去低点索引，得出极值点之间的时间跨度；
跨度归一化：将时间跨度除以窗口长度N；
趋势形态判定：正值表示“先见底后见顶”（上升趋势），负值表示“先见顶后见底”（下降趋势），绝对值大小代表趋势持续的时间跨度。",price_volume_factors,Window_2024
Price-Volume,RESI5,False,0.0358,112,-0.01106,-0.0798,-1.7433,0.08192,0.104676,0.112,"【核心含义】
价格趋势残差 (Residual)：过去5天价格线性回归的残差相对值。衡量价格偏离其线性趋势的程度，反映短期超买或超卖。

【运行原理】
数据准备：以时间序列（1到N）作为自变量，N天内的收盘价作为因变量；
线性拟合：对这两组数据进行普通最小二乘法(OLS)线性回归，得到一条代表整体趋势的最佳拟合直线；
残差提取：计算当前最新收盘价与该拟合直线在当天的预测值之间的差值（残差 Resi）；
残差归一化：将残差除以当前的收盘价；
异动捕捉：过滤掉线性的平稳趋势后，剩下的残差反映了价格的非线性突变或异常波动（超买/超卖程度）。",price_volume_factors,Window_2024
Price-Volume,VSUMD10,False,0.0078,113,-0.008952,-0.0913,-1.9932,0.046815,0.062723,0.1105,"【核心含义】
放缩量净差占比 (Volume Sum Difference)：过去10天成交量增加与减少部分的净差占比。

【运行原理】
量能多空拆解：在N天窗口内，根据当日股价的涨跌，将成交量变化拆分为“伴随上涨的增量”与“伴随下跌的增量”；
量能轧差：计算上涨增量总和与下跌增量总和的差值，得到资金追涨杀跌的“净量能”；
总基准归一化：将净量能除以这N天内所有成交量绝对变化的整体和；
资金净推力：正值代表放量上涨的良性推力，负值代表放量下跌的恶性砸盘，用于甄别资金的真实意图。",price_volume_factors,Window_2024
Price-Volume,RANK5,False,0.0421,114,-0.010711,-0.0788,-1.5547,0.120833,0.148884,0.1055,"【核心含义】
价格相对排位 (Rank)：当前价格在过去5天价格中的百分比排位。反映当前处于近期波动区间的什么水平。

【运行原理】
数据收集：在N天的滑动窗口内，收集每日的收盘价；
截面排序：将当前的最新收盘价与窗口内历史所有收盘价进行大小比对；
分位数换算：计算当前价格在历史序列中所处的百分比排名(Rank)；
相对强弱定性：结果在0到1之间，1表示当前创出新高，0表示创出新低，用于判断当前价格在近期波动区间内的相对身位。",price_volume_factors,Window_2024
Price-Volume,Alpha145,False,0.1185,115,-0.00707,-0.0617,-1.3224,0.186682,0.216694,0.1046,"【原始公式】
(MEAN(VOLUME,9)-MEAN(VOLUME,26))/MEAN(VOLUME,12)*100

【核心含义】
国泰君安191因子体系中的 Alpha145 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2024
Price-Volume,RANK10,False,0.0269,116,-0.010902,-0.0754,-1.6039,0.109431,0.137286,0.1036,"【核心含义】
价格相对排位 (Rank)：当前价格在过去10天价格中的百分比排位。反映当前处于近期波动区间的什么水平。

【运行原理】
数据收集：在N天的滑动窗口内，收集每日的收盘价；
截面排序：将当前的最新收盘价与窗口内历史所有收盘价进行大小比对；
分位数换算：计算当前价格在历史序列中所处的百分比排名(Rank)；
相对强弱定性：结果在0到1之间，1表示当前创出新高，0表示创出新低，用于判断当前价格在近期波动区间内的相对身位。",price_volume_factors,Window_2024
Price-Volume,Alpha100,False,0.1437,117,,,,,,0.1026,"【原始公式】
STD(VOLUME,20)

【核心含义】
国泰君安191因子体系中的 Alpha100 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2024
Price-Volume,CNTN10,False,0.0516,118,-0.008724,-0.0712,-1.5541,0.120828,0.148884,0.1019,"【核心含义】
下跌天数占比 (Count Negative)：过去10天中收益率为负的天数占比。反映空头占据优势的交易日频率。

【运行原理】
跌势识别：逐日对比过去N天的收盘价与前一交易日收盘价，仅对“当日收盘价 < 前日收盘价”的交易日进行布尔标记（True为1，False为0）；
概率统计：在滑动窗口内对布尔序列求均值，计算出该区间内阴线（下跌日）出现的相对比例；
情绪刻画：数值越接近1，说明该区间内股票几乎每天都在下跌，反映出极强的空头压制与市场悲观情绪。",price_volume_factors,Window_2024
Price-Volume,KSFT2,False,0.0024,119,-0.009875,-0.0792,-1.7292,0.084421,0.106882,0.1,"【核心含义】
K线重心偏移占振幅比例：标准化后的重心偏移，+1表示收在最高，-1表示收在最低，是极佳的日内动量指标。

【运行原理】
中枢计算：获取当日的最高价、最低价和收盘价，(2*收盘价 - 最高价 - 最低价) 相当于评估收盘价在全天振幅(High-Low)中的相对偏移位置（偏移重心的两倍）；
相对基准：将上述偏移量除以当日开盘价(open)；
重心偏移度：用于刻画最终收盘时，多空力量将价格推离日内均衡中枢的程度，正值偏多，负值偏空。",price_volume_factors,Window_2024
Price-Volume,IMIN10,False,0.0295,120,0.00934,0.0754,1.4902,0.136984,0.16729,0.096,"【核心含义】
最低价距离天数 (Index of Min)：过去10天中最低价发生在那一天。反映低点的时效性。

【运行原理】
极值寻址：在N天滑动窗口内，扫描每日最低价，定位到最小值出现的那一天；
索引提取：获取该最小值距离窗口起始位置的时间索引(IdxMin)；
时间归一化：将索引值除以窗口总长度N，转换为0到1之间的相对时间比例；
见底时间评估：数值越大说明近期刚刚创出新低，抛压仍在释放；数值越小说明低点发生在窗口初期，目前可能已企稳反弹。",price_volume_factors,Window_2024
Price-Volume,RESI20,False,0.0509,121,-0.00873,-0.0625,-1.365,0.17289,0.205679,0.0936,"【核心含义】
价格趋势残差 (Residual)：过去20天价格线性回归的残差相对值。衡量价格偏离其线性趋势的程度，反映短期超买或超卖。

【运行原理】
数据准备：以时间序列（1到N）作为自变量，N天内的收盘价作为因变量；
线性拟合：对这两组数据进行普通最小二乘法(OLS)线性回归，得到一条代表整体趋势的最佳拟合直线；
残差提取：计算当前最新收盘价与该拟合直线在当天的预测值之间的差值（残差 Resi）；
残差归一化：将残差除以当前的收盘价；
异动捕捉：过滤掉线性的平稳趋势后，剩下的残差反映了价格的非线性突变或异常波动（超买/超卖程度）。",price_volume_factors,Window_2024
Price-Volume,MAX30,False,0.0477,122,-0.00941,-0.0549,-1.1988,0.231188,0.261508,0.0873,"【核心含义】
区间最高价相对值 (Max)：过去30天的最高价相对当前价格的比值。反映当前价格距离前期高点的距离（阻力位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最高价；
峰值提取：找出这N天中的全局最高价(Max)；
压力位归一化：将提取出的历史最高价除以当前的最新收盘价；
破顶距离刻画：数值反映了当前价格距离近期前高的空间。数值越接近1，说明越有突破前高的可能；数值越大，说明距离前高越远，处于深幅回调中。",price_volume_factors,Window_2024
Price-Volume,Alpha95,False,0.1206,123,,,,,,0.0861,"【原始公式】
STD(AMOUNT,20)

【核心含义】
国泰君安191因子体系中的 Alpha95 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2024
Price-Volume,WVMA10,False,0.037,124,0.004378,0.0653,1.4267,0.154323,0.18622,0.0819,"【核心含义】
波动加权成交量均值 (Weighted VMA)：过去10天以价格波动绝对值加权的成交量相对均值。反映大幅波动时的异常成交量特征。

【运行原理】
动能权重赋值：在N天滑动窗口内，先计算每日的价格绝对变化率（如：Abs(今日收盘/昨日收盘-1)），以此作为当日行情的“动能权重”；
量能加权：将该动能权重乘上当日的成交量，得到“价格波动加权的成交量”序列；
波动率计算：计算该加权成交量序列的标准差，并除以其均值进行无量纲化；
极端行情捕捉：该指标能极其敏感地捕捉到“巨幅震荡且伴随天量”的极端变盘日，是识别市场情绪顶底的利器。",price_volume_factors,Window_2024
Price-Volume,RSV10,False,0.0027,125,-0.009086,-0.0613,-1.3382,0.181456,0.214025,0.0812,"【核心含义】
未成熟随机值 (Raw Stochastic Value)：KDJ指标的计算基础，(当前价-最低价)/(最高价-最低价)，反映当前价格在过去10天极值区间的相对强弱。

【运行原理】
极值扫描：在N天滑动窗口内，同时找出全局最高价(Max)和全局最低价(Min)，确定该区间的绝对波动范围；
相对位置计算：计算当前最新收盘价减去全局最低价的差额；
KD基石换算：将该差额除以总波动范围（最高价-最低价），得到未成熟随机值(RSV)；
超买超卖界定：结果在0到1之间，直观标定当前价格处于近期波动箱体的什么水位（如0.8以上为超买区，0.2以下为超卖区）。",price_volume_factors,Window_2024
Price-Volume,VMA5,False,0.0027,126,0.006237,0.0653,1.4237,0.155183,0.18622,0.0778,"【核心含义】
成交量移动平均 (Volume MA)：过去5天的成交量移动平均相对当前成交量的比值。反映成交量的近期均值回归状态。

【运行原理】
成交量聚合：在设定的N天时间窗口内，收集每一天的成交量(volume)；
均量计算：对窗口内的所有成交量求简单算术平均数(Mean)，得到该周期的平均换手水平；
放缩量换算：将计算出的移动平均成交量除以当前的最新成交量（分母加极小值防报错）；
量能异动评估：结果若远小于1，说明当日剧烈放量；若大于1，说明当日缩量。用于判断当前交投活跃度相较于历史均值的异动情况。",price_volume_factors,Window_2024
Price-Volume,Alpha15,False,0.0078,127,0.005482,0.0607,1.3218,0.186859,0.216694,0.0728,"【原始公式】
OPEN/DELAY(CLOSE,1)-1

【核心含义】
国泰君安191因子体系中的 Alpha15 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2024
Price-Volume,VSTD10,False,0.0375,128,-0.004417,-0.0552,-1.2021,0.229928,0.261508,0.0724,"【核心含义】
成交量波动率 (Volume STD)：过去10天成交量的相对标准差。衡量交投活跃度的稳定性。

【运行原理】
量能波动提取：在N天的滑动窗口内，计算每日成交量序列的标准差(Std)，衡量资金参与热度的极热极冷切换频率；
波动归一化：将计算出的成交量绝对标准差除以当前的最新成交量；
筹码稳定性刻画：数值越大，说明近期时而极度缩量时而放出天量，筹码极不稳定；数值越小，说明每日成交量均匀平稳，资金运作有条短不紊。",price_volume_factors,Window_2024
Price-Volume,Alpha191,False,0.0162,129,-0.005236,-0.0575,-1.2566,0.209528,0.240957,0.0714,"【原始公式】
((CORR(MEAN(VOLUME,20),LOW,5)+((HIGH+LOW)/2))-CLOSE)

【核心含义】
国泰君安191因子体系中的 Alpha191 因子。具体业务含义参考原始研报公式解析。",price_volume_factors,Window_2024
Price-Volume,RSQR10,False,0.0642,130,0.003359,0.0364,0.796,0.426447,0.467061,0.0588,"【核心含义】
价格趋势决定系数 (R-square)：过去10天价格线性回归的R平方。衡量价格趋势的线性度（平滑度），值越大说明趋势越稳定。

【运行原理】
数据准备：以时间序列（1到N）作为自变量，N天内的收盘价作为因变量；
线性拟合：进行普通最小二乘法(OLS)线性回归；
判定系数计算：计算回归模型的决定系数 R-squared (R²)，即因变量的方差中可由自变量（时间趋势）解释的比例；
趋势平稳度评估：R² 越接近1，说明价格沿直线涨跌的趋势越平稳、噪音越小；越接近0，说明走势杂乱无章、震荡剧烈。",price_volume_factors,Window_2024
Price-Volume,CNTD60,False,0.0774,131,,,,,,0.0553,"【核心含义】
涨跌天数差值 (Count Difference)：过去60天中上涨天数与下跌天数占比的差值。直接反映多空天数力量对比。

【运行原理】
涨跌识别：逐日对比过去N天的收盘价与前一交易日收盘价，分别标记为上涨日和下跌日；
频率统计：在设定窗口内，分别计算上涨日出现的平均概率（多头占比）和下跌日出现的平均概率（空头占比）；
净胜计算：将上涨概率减去下跌概率，得出多空双方在此区间的“净胜频次占比”；
特征输出：正值说明多头占优，负值说明空头占优，每日随着窗口前移而动态更新。",price_volume_factors,Window_2024
Price-Volume,MAX60,False,0.0587,132,0.004879,0.0284,0.6205,0.535214,0.581571,0.0537,"【核心含义】
区间最高价相对值 (Max)：过去60天的最高价相对当前价格的比值。反映当前价格距离前期高点的距离（阻力位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最高价；
峰值提取：找出这N天中的全局最高价(Max)；
压力位归一化：将提取出的历史最高价除以当前的最新收盘价；
破顶距离刻画：数值反映了当前价格距离近期前高的空间。数值越接近1，说明越有突破前高的可能；数值越大，说明距离前高越远，处于深幅回调中。",price_volume_factors,Window_2024
Price-Volume,VSTD20,False,0.0025,133,0.003772,0.0458,0.9984,0.318601,0.357455,0.0532,"【核心含义】
成交量波动率 (Volume STD)：过去20天成交量的相对标准差。衡量交投活跃度的稳定性。

【运行原理】
量能波动提取：在N天的滑动窗口内，计算每日成交量序列的标准差(Std)，衡量资金参与热度的极热极冷切换频率；
波动归一化：将计算出的成交量绝对标准差除以当前的最新成交量；
筹码稳定性刻画：数值越大，说明近期时而极度缩量时而放出天量，筹码极不稳定；数值越小，说明每日成交量均匀平稳，资金运作有条短不紊。",price_volume_factors,Window_2024
Price-Volume,RSQR5,False,0.0131,134,0.003758,0.0415,0.9066,0.365095,0.406315,0.0519,"【核心含义】
价格趋势决定系数 (R-square)：过去5天价格线性回归的R平方。衡量价格趋势的线性度（平滑度），值越大说明趋势越稳定。

【运行原理】
数据准备：以时间序列（1到N）作为自变量，N天内的收盘价作为因变量；
线性拟合：进行普通最小二乘法(OLS)线性回归；
判定系数计算：计算回归模型的决定系数 R-squared (R²)，即因变量的方差中可由自变量（时间趋势）解释的比例；
趋势平稳度评估：R² 越接近1，说明价格沿直线涨跌的趋势越平稳、噪音越小；越接近0，说明走势杂乱无章、震荡剧烈。",price_volume_factors,Window_2024
Price-Volume,CNTN20,False,0.07,135,-0.003527,-0.0261,-0.5702,0.568843,0.60853,0.051,"【核心含义】
下跌天数占比 (Count Negative)：过去20天中收益率为负的天数占比。反映空头占据优势的交易日频率。

【运行原理】
跌势识别：逐日对比过去N天的收盘价与前一交易日收盘价，仅对“当日收盘价 < 前日收盘价”的交易日进行布尔标记（True为1，False为0）；
概率统计：在滑动窗口内对布尔序列求均值，计算出该区间内阴线（下跌日）出现的相对比例；
情绪刻画：数值越接近1，说明该区间内股票几乎每天都在下跌，反映出极强的空头压制与市场悲观情绪。",price_volume_factors,Window_2024
Price-Volume,MA60,False,0.0624,136,,,,,,0.0445,"【核心含义】
移动平均 (Moving Average)：过去60天的价格移动平均相对当前价格的比值。反映短期均线乖离率，常用于均线回归或趋势判断。

【运行原理】
窗口聚合：在设定的N天时间窗口内，收集每一天的收盘价；
均值计算：对窗口内的所有收盘价求简单算术平均数(Mean)，得到该周期的移动平均线点位；
乖离率换算：将计算出的移动平均值除以当前的最新收盘价；
偏离度评估：结果大于1代表价格跌破均线（超卖或下行），小于1代表价格在均线上方（超买或上行），反映了短期价格相对均值中枢的偏离状态。",price_volume_factors,Window_2024
Price-Volume,MIN30,False,0.0595,137,,,,,,0.0425,"【核心含义】
区间最低价相对值 (Min)：过去30天的最低价相对当前价格的比值。反映当前价格距离前期低点的距离（支撑位）。

【运行原理】
极值扫描：在设定的N天滑动窗口内，遍历每一天的最低价；
谷值提取：找出这N天中的全局最低价(Min)，即近期的支撑位；
支撑位归一化：将提取出的历史最低价除以当前的最新收盘价；
破底距离刻画：数值反映了当前价格距离近期前低的空间。数值越接近1，说明面临破位风险；数值越小（离1越远），说明已经大幅反弹脱离底部。",price_volume_factors,Window_2024
Price-Volume,CNTD20,False,0.0508,138,,,,,,0.0363,"【核心含义】
涨跌天数差值 (Count Difference)：过去20天中上涨天数与下跌天数占比的差值。直接反映多空天数力量对比。

【运行原理】
涨跌识别：逐日对比过去N天的收盘价与前一交易日收盘价，分别标记为上涨日和下跌日；
频率统计：在设定窗口内，分别计算上涨日出现的平均概率（多头占比）和下跌日出现的平均概率（空头占比）；
净胜计算：将上涨概率减去下跌概率，得出多空双方在此区间的“净胜频次占比”；
特征输出：正值说明多头占优，负值说明空头占优，每日随着窗口前移而动态更新。",price_volume_factors,Window_2024
Price-Volume,SUMD60,False,0.0472,139,,,,,,0.0337,"【核心含义】
多空收益差占比 (Sum Difference)：过去60天中多头与空头收益绝对量之和的差值占比。反映区间内多空绝对力量的净差。

【运行原理】
涨跌拆解：在N天窗口内，计算每一天的价格变化绝对值，并区分出上涨日的变化量总和与下跌日的变化量总和；
多空轧差：将上涨总和减去下跌总和，得到多空双方博弈后的“净动能”；
基准归一化：将净动能除以这N天内所有价格变化绝对值的总和；
净势能输出：结果在-1到1之间，类似于 RSI 的变体，正值代表多头主导的上涨趋势，负值代表空头主导的下跌趋势。",price_volume_factors,Window_2024
Price-Volume,KUP2,False,0.0079,140,-0.002452,-0.0263,-0.5752,0.565401,0.60853,0.033,"【核心含义】
K线上影线占全天振幅比例：上影线长度在全天振幅中的占比，值越大说明上方抛压越重，多头遇阻回落。

【运行原理】
形态截取：获取单日的最高价(high)与收盘价(close)；
上影线（或实体上部）计算：计算最高价与收盘价之差，代表多头冲高后被空头打压回落的空间；
比例换算：将回落空间除以当日开盘价(open)进行标准化；
抛压测试：数值越大，说明日内冲高回落的阻力越强，上方套牢盘或抛压越重。",price_volume_factors,Window_2024
Price-Volume,CNTD10,False,0.046,141,,,,,,0.0328,"【核心含义】
涨跌天数差值 (Count Difference)：过去10天中上涨天数与下跌天数占比的差值。直接反映多空天数力量对比。

【运行原理】
涨跌识别：逐日对比过去N天的收盘价与前一交易日收盘价，分别标记为上涨日和下跌日；
频率统计：在设定窗口内，分别计算上涨日出现的平均概率（多头占比）和下跌日出现的平均概率（空头占比）；
净胜计算：将上涨概率减去下跌概率，得出多空双方在此区间的“净胜频次占比”；
特征输出：正值说明多头占优，负值说明空头占优，每日随着窗口前移而动态更新。",price_volume_factors,Window_2024
Price-Volume,RESI30,False,0.0468,142,-0.001866,-0.0138,-0.3005,0.763926,0.792645,0.0293,"【核心含义】
价格趋势残差 (Residual)：过去30天价格线性回归的残差相对值。衡量价格偏离其线性趋势的程度，反映短期超买或超卖。

【运行原理】
数据准备：以时间序列（1到N）作为自变量，N天内的收盘价作为因变量；
线性拟合：对这两组数据进行普通最小二乘法(OLS)线性回归，得到一条代表整体趋势的最佳拟合直线；
残差提取：计算当前最新收盘价与该拟合直线在当天的预测值之间的差值（残差 Resi）；
残差归一化：将残差除以当前的收盘价；
异动捕捉：过滤掉线性的平稳趋势后，剩下的残差反映了价格的非线性突变或异常波动（超买/超卖程度）。",price_volume_factors,Window_2024
Price-Volume,RSQR30,False,0.0682,143,0.000933,0.009,0.1958,0.844835,0.863609,0.0279,"【核心含义】
价格趋势决定系数 (R-square)：过去30天价格线性回归的R平方。衡量价格趋势的线性度（平滑度），值越大说明趋势越稳定。

【运行原理】
数据准备：以时间序列（1到N）作为自变量，N天内的收盘价作为因变量；
线性拟合：进行普通最小二乘法(OLS)线性回归；
判定系数计算：计算回归模型的决定系数 R-squared (R²)，即因变量的方差中可由自变量（时间趋势）解释的比例；
趋势平稳度评估：R² 越接近1，说明价格沿直线涨跌的趋势越平稳、噪音越小；越接近0，说明走势杂乱无章、震荡剧烈。",price_volume_factors,Window_2024
Price-Volume,CNTP10,False,0.039,144,,,,,,0.0279,"【核心含义】
上涨天数占比 (Count Positive)：过去10天中收益率为正的天数占比。反映多头占据优势的交易日频率。

【运行原理】
涨势识别：逐日对比过去N天收盘价与前一交易日收盘价，提取出“当日收盘价 > 前日收盘价”的阳线（上涨日）并标记为1，其余为0；
概率统计：对该布尔序列在时间窗口内求均值，得出上涨交易日所占的百分比；
情绪刻画：数值越接近1，表明区间内股票连涨天数越多，市场处于强势的多头逼空状态或极度乐观情绪中。",price_volume_factors,Window_2024
Price-Volume,QTLU20,False,0.0368,145,,,,,,0.0263,"【核心含义】
区间上分位数 (Quantile Up)：过去20天价格的80%分位数相对当前价格的比值。类似布林带上轨概念。

【运行原理】
分位数排序：在设定的N天时间窗口内，将所有交易日的收盘价从小到大进行排列；
高位分位提取：提取位于 80% 分位点(0.8)的收盘价，作为该区间的“稳健压力位”（剔除了极端的单日最高价干扰）；
归一化处理：将该80%分位价格除以当前的最新收盘价；
上行阻力评估：衡量当前价格距离近期筹码高位密集区的距离，评估向上突破需要克服的阻力大小。",price_volume_factors,Window_2024
Price-Volume,CNTN5,False,0.0211,146,-0.002026,-0.0169,-0.3654,0.715002,0.753208,0.0262,"【核心含义】
下跌天数占比 (Count Negative)：过去5天中收益率为负的天数占比。反映空头占据优势的交易日频率。

【运行原理】
跌势识别：逐日对比过去N天的收盘价与前一交易日收盘价，仅对“当日收盘价 < 前日收盘价”的交易日进行布尔标记（True为1，False为0）；
概率统计：在滑动窗口内对布尔序列求均值，计算出该区间内阴线（下跌日）出现的相对比例；
情绪刻画：数值越接近1，说明该区间内股票几乎每天都在下跌，反映出极强的空头压制与市场悲观情绪。",price_volume_factors,Window_2024
